关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
获取许可页面,acquireLicensePage,指示一个页面，其中记录了如何购买或以其他方式获得当前项目的许可证。,"Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item.",CreativeWork,"CreativeWork, URL"
获取自,acquiredFrom,购买产品的组织或个人。,The organization or person from which the product was acquired.,OwnershipInfo,"Organization, Person"
密码,acrissCode,ACRISS汽车分类代码是许多汽车租赁公司用于对车辆进行分类的代码。 ACRISS代表汽车租赁行业系统和标准协会。,"The ACRISS Car Classification Code is a code used by many car rental companies, for classifying vehicles. ACRISS stands for Association of Car Rental Industry Systems and Standards.","BusOrCoach, Car",Text
行动可访问性要求,actionAccessibilityRequirement,执行一项操作必须满足的一组要求。如果指定了多个值，则满足一组要求将允许执行该操作。,"A set of requirements that a must be fulfilled in order to perform an Action. If more than one value is specied, fulfilling one set of requirements will allow the Action to be performed.",ConsumeAction,ActionAccessSpecification
动作应用,actionApplication,可以完成请求的应用程序。,An application that can complete the request.,EntryPoint,SoftwareApplication
动作选项,actionOption,对象的子属性。这些选项受此操作的影响。,A sub property of object. The options subject to this action.,ChooseAction,"Text, Thing"
动作平台,actionPlatform,可以针对给定URL执行操作的高级平台。要指定特定的应用程序或操作系统实例，请使用actionApplication。,"The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.",EntryPoint,"Text, URL"
动作状态,actionStatus,指示操作的当前处置。,Indicates the current disposition of the Action.,Action,ActionStatusType
可行的反馈政策,actionableFeedbackPolicy,对于NewsMediaOrganization或其他与新闻有关的组织，声明有关公众参与活动（对于新闻媒体，新闻编辑室而言）的声明，包括以数字方式或其他方式使公众参与出版物发布后的报道决策，报道和活动。,"For a NewsMediaOrganization or other news-related Organization, a statement about public engagement activities (for news media, the newsroom’s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication.","NewsMediaOrganization, Organization","CreativeWork, URL"
有效成分,activeIngredient,活性成分，通常是化学化合物和/或生物物质。,"An active ingredient, typically chemical compounds and/or biologic substances.","DietarySupplement, Drug, DrugStrength, Substance",Text
活动时间,activityDuration,参加活动的时间长度。,Length of time to engage in the activity.,ExercisePlan,"Duration, QualitativeValue"
活动频率,activityFrequency,应该多久参加一次活动。,How often one should engage in the activity.,ExercisePlan,"QualitativeValue, Text"
演员,actor,演员，例如电视，广播，电影，视频游戏等，或事件中。演员可以与单个项目或系列，剧集，剪辑关联。,"An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.","Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject",Person
演员,actors,演员，例如电视，广播，电影，视频游戏等中。演员可以与单个项目或系列，剧集，剪辑关联。,"An actor, e.g. in tv, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.","Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject",Person
添加在,addOn,只能与第一个基本要约结合使用的额外要约（例如，可额外付费的补充和扩展）。,An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).,Offer,Offer
附加名称,additionalName,Person的其他名称可以用作中间名。,"An additional name for a Person, can be used for a middle name.",Person,Text
额外的客人人数,additionalNumberOfGuests,如果回答“是”，则是除了被邀请者之外还将参加的嘉宾人数。,"If responding yes, the number of guests who will attend in addition to the invitee.",RsvpAction,Number
附加财产,additionalProperty,表示实体附加特征的属性值对，例如产品特性或schema.org中没有匹配属性的其他特性。注意：发布者应意识到，设计为使用特定schema.org属性（例如，宽度，颜色，gtin13等）的应用程序通常会期望这样的特性使用这些属性而不是使用通用属性/值机制提供的数据。,"A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. width, color, gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.","Place, Product, QualitativeValue, QuantitativeValue",PropertyValue
附加类型,additionalType,另一种类型，通常用于以微数据语法从外部词汇表中添加更多特定类型。这是事物与事物所在的类之间的关系。在RDFa语法中，最好对多个类型使用本机RDFa语法-'typeof'属性。 Schema.org工具可能对附加类型（尤其是那些在外部定义的类型）的了解较弱。,"An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.",Thing,URL
附加变量,additionalVariable,运动处方中可能需要与患者联系的任何其他组件。这可能包括锻炼顺序，重复运动的次数，定量距离，随着时间的推移等。,"Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.",ExercisePlan,Text
地址,address,,Physical address of the item.,"GeoCoordinates, GeoShape, Organization, Person, Place","PostalAddress, Text"
地址国家,addressCountry,国家。例如，美国。您还可以提供两个字母的ISO 3166-1 alpha-2国家/地区代码。,"The country. For example, USA. You can also provide the two-letter ISO 3166-1 alpha-2 country code.","DefinedRegion, GeoCoordinates, GeoShape, PostalAddress","Country, Text"
地址位置,addressLocality,街道地址所在的区域以及该区域中的位置。例如，山景城。,"The locality in which the street address is, and which is in the region. For example, Mountain View.",PostalAddress,Text
地址区域,addressRegion,所在地区和国家/地区中的地区。例如，加利福尼亚州或其他适当的一级行政区划,"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level Administrative division","DefinedRegion, PostalAddress",Text
施药途径,administrationRoute,可以施用该药物的途径，例如'口服'。,"A route by which this drug may be administered, e.g. 'oral'.",Drug,Text
提前预订要求,advanceBookingRequirement,从接受报价到实际使用资源或服务所需的时间。,The amount of time that is required between accepting the offer and the actual usage of the resource or service.,"Demand, Offer",QuantitativeValue
不良结果,adverseOutcome,该疗法可能引起的并发症和/或副作用。如果已知不良后果是严重的（导致死亡，致残或永久损坏；需要住院；否则可能危及生命或需要立即就医），则将其标记为“ severeeAdverseOutcome”。,"A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or is otherwise life-threatening or requires immediate medical attention), tag it as a seriouseAdverseOutcome instead.","MedicalDevice, TherapeuticProcedure",MedicalEntity
受...影响,affectedBy,影响测试结果的药物。,Drugs that affect the test's results.,MedicalTest,Drug
隶属关系,affiliation,此人所属的组织。 例如，学校/大学，俱乐部或团队。,"An organization that this person is affiliated with. For example, a school/university, a club, or a team.",Person,Organization
后媒体,afterMedia,执行此指示后代表情况的媒体对象。,A media object representing the circumstances after performing this direction.,HowToDirection,"MediaObject, URL"
代理人,agent,动作的直接执行者或驱动者（有生命或无生命）。 例如 约翰写了一本书。,The direct performer or driver of the action (animate or inanimate). e.g. John wrote a book.,Action,"Organization, Person"
总评分,aggregateRating,该项目的总体评分（基于评论或评分的集合）。,"The overall rating, based on a collection of reviews or ratings, of the item.","Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service",AggregateRating
飞机,aircraft,飞机类型（例如“波音747”）。,"The kind of aircraft (e.g., ""Boeing 747"").",Flight,"Text, Vehicle"
专辑,album,音乐专辑。,A music album.,MusicGroup,MusicAlbum
专辑制作类型,albumProductionType,专辑按内容类型分类：配乐，现场专辑，录音室专辑等。,"Classification of the album by it's type of content: soundtrack, live album, studio album, etc.",MusicAlbum,MusicAlbumProductionType
专辑发行,albumRelease,这张专辑的发行。,A release of this album.,MusicAlbum,MusicRelease
专辑发行类型,albumReleaseType,该专辑的发行类型为：单张，EP或专辑。,"The kind of release which this album is: single, EP or album.",MusicAlbum,MusicAlbumReleaseType
专辑,albums,音乐专辑的集合。,A collection of music albums.,MusicGroup,MusicAlbum
酒精警告,alcoholWarning,与服用该药物时饮酒有关的任何预防措施，指南，禁忌症等。,"Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.",Drug,Text
算法,algorithm,计算分数所遵循的算法或规则。,The algorithm or rules to follow to compute the score.,MedicalRiskScore,Text
对齐类型,alignmentType,学习资源和框架节点之间的对齐类别。 推荐值包括：“ requires”，“ textComplexity”，“ readingLevel”和“ educationalSubject”。,"A category of alignment between the learning resource and the framework node. Recommended values include: 'requires', 'textComplexity', 'readingLevel', and 'educationalSubject'.",AlignmentObject,Text
备用名,alternateName,项目的别名。,An alias for the item.,Thing,Text
替代标题,alternativeHeadline,CreativeWork的辅助标题。,A secondary title of the CreativeWork.,CreativeWork,Text
校友,alumni,组织的校友。,Alumni of an organization.,"EducationalOrganization, Organization",Person
校友,alumniOf,该人是校友的组织。,An organization that the person is an alumni of.,Person,"EducationalOrganization, Organization"
便利设施,amenityFeature,住宿的便利设施特征（例如特色或服务）。 该通用属性不声明该功能是否包含在主要住宿的报价中，还是需要额外付费使用。,An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.,"Accommodation, FloorPlan, LodgingBusiness, Place",LocationFeatureSpecification
金额,amount,金额。,The amount of money.,"DatedMoneySpecification, InvestmentOrDeposit, LoanOrCredit, MonetaryGrant, MoneyTransfer","MonetaryAmount, Number"
这个商品的数量,amountOfThisGood,要约中包含的商品数量。,The quantity of the goods included in the offer.,TypeAndQuantityNode,Number
公告位置,announcementLocation,表示与特别公告关联的特定CivicStructure或LocalBusiness。例如，特定的测试设施或营业时间特殊的企业。对于较大的地理区域，例如整个区域的隔离区，请使用spaceCoverage。,"Indicates a specific CivicStructure or LocalBusiness associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use spatialCoverage.",SpecialAnnouncement,"CivicStructure, LocalBusiness"
年利率,annualPercentageRate,借贷（或通过投资进行）收取的年利率，以单个百分比表示，表示贷款期限内实际的年度资金成本。这包括与交易相关的任何费用或额外费用。,"The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.",FinancialProduct,"Number, QuantitativeValue"
回答数,answerCount,该问题已收到的答案数量。,The number of answers this question has received.,Question,Integer
对抗肌,antagonist,抵消特定肌肉作用的肌肉。,The muscle whose action counteracts the specified muscle.,Muscle,Muscle
出现声明,appearance,表示在某些CreativeWork中发生了声明。,Indicates an occurence of a Claim in some CreativeWork.,Claim,CreativeWork
适用位置,applicableLocation,状态适用的位置。,The location in which the status applies.,"DrugCost, DrugLegalStatus",AdministrativeArea
申请人位置要求,applicantLocationRequirements,申请人可以申请的地点。这通常用于远程办公，而申请人不需要在物理办公室工作。注意：这不应用于公民身份或工作签证要求。,The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.,JobPosting,AdministrativeArea
应用,application,可以完成请求的应用程序。,An application that can complete the request.,EntryPoint,SoftwareApplication
应用类别,applicationCategory,软件应用程序的类型，例如“游戏，多媒体”。,"Type of software application, e.g. 'Game, Multimedia'.",SoftwareApplication,"Text, URL"
申请联系方式,applicationContact,与该职位发布有关的更多信息的联系方式。,Contact details for further information relevant to this job posting.,JobPosting,ContactPoint
报名截止日期,applicationDeadline,程序停止为下一个注册周期收集应用程序的日期。,The date at which the program stops collecting applications for the next enrollment cycle.,EducationalOccupationalProgram,Date
申请开始日期,applicationStartDate,程序开始为下一个注册周期收集应用程序的日期。,The date at which the program begins collecting applications for the next enrollment cycle.,EducationalOccupationalProgram,Date
应用子类别,applicationSubCategory,应用程序的子类别，例如 “街机游戏”。,"Subcategory of the application, e.g. 'Arcade Game'.",SoftwareApplication,"Text, URL"
应用套件,applicationSuite,该应用程序所属的应用程序套件的名称（例如Excel属于Office）。,The name of the application suite to which the application belongs (e.g. Excel belongs to Office).,SoftwareApplication,Text
适用于投放方式,appliesToDeliveryMethod,适用送货费用或付款费用说明的送货方式。,The delivery method(s) to which the delivery charge or payment charge specification applies.,"DeliveryChargeSpecification, PaymentChargeSpecification",DeliveryMethod
适用于付款方式,appliesToPaymentMethod,付款费用说明适用的付款方式。,The payment method(s) to which the payment charge specification applies.,PaymentChargeSpecification,PaymentMethod
存档,archiveHeld,由存档组织保存，保管或维护的收藏品，收藏品或项目。,"Collection, fonds, or item held, kept or maintained by an ArchiveOrganization.",ArchiveOrganization,ArchiveComponent
区,area,用户可以预期到达广播服务的区域。,The area within which users can expect to reach the broadcast service.,BroadcastService,Place
服务区域,areaServed,提供服务或提供的商品的地理区域。,The geographic area where a service or offered item is provided.,"ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service","AdministrativeArea, GeoShape, Place, Text"
到达机场,arrivalAirport,航班终止的机场。,The airport where the flight terminates.,Flight,Airport
到达巴士站,arrivalBusStop,公共汽车到达的车站或车站。,The stop or station from which the bus arrives.,BusTrip,"BusStation, BusStop"
到达门,arrivalGate,航班到达门的标识符。,Identifier of the flight's arrival gate.,Flight,Text
到达站台,arrivalPlatform,火车到达的平台。,The platform where the train arrives.,TrainTrip,Text
到达站,arrivalStation,火车旅行结束的车站。,The station where the train trip ends.,TrainTrip,TrainStation
到达码头,arrivalTerminal,航班到达终端的标识符。,Identifier of the flight's arrival terminal.,Flight,Text
到达时间,arrivalTime,预计到达时间。,The expected arrival time.,Trip,"DateTime, Time"
艺术版,artEdition,制作一件艺术品的多个副本时的副本数量-例如 对于限量发行20张的作品，“ artEdition”是指总份数（在此示例中为“ 20”）。,"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"").",VisualArtwork,"Integer, Text"
艺术媒介,artMedium,使用的材料。 （例如，油，水彩，丙烯酸，Linoprint，大理石，Cyanotype，数字，平版印刷，DryPoint，凹版印刷，粉彩，木刻，铅笔，混合介质等）,"The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)",VisualArtwork,"Text, URL"
动脉分支,arterialBranch,组成动脉结构的分支。,The branches that comprise the arterial structure.,Artery,AnatomicalStructure
艺术形式,artform,例如绘画，绘画，雕塑，印刷，照片，组合，拼贴画等,"e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.",VisualArtwork,"Text, URL"
文章正文,articleBody,文章的实际正文。,The actual body of the article.,Article,Text
文章部分,articleSection,文章可能属于杂志或报纸上的一个或多个“栏目”，例如“体育”，“生活方式”等。,"Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.",Article,Text
艺术家,artist,除铅笔或数字线条艺术以外的其他媒介中作品的主要艺术家-例如，如果主要艺术品是用水彩或数字绘画完成的。,"The primary artist for a work    in a medium other than pencils or digital line art--for example, if the    primary artwork is done in watercolors or digital paints.","ComicIssue, ComicStory, VisualArtwork",Person
艺术品表面,artworkSurface,艺术品的支撑材料，例如帆布，纸张，木材，木板等,"The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.",VisualArtwork,"Text, URL"
方面,aspect,页面上考虑的医学实践方面，例如“诊断”，“治疗”，“原因”，“预后”，“病因”，“流行病学”等。,"An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.",MedicalWebPage,Text
部件,assembly,库文件名，例如mscorlib.dll，system.web.dll。,"Library file name e.g., mscorlib.dll, system.web.dll.",APIReference,Text
部件版本,assemblyVersion,关联的产品/技术版本。例如.NET Framework 4.5。,"Associated product/technology version. e.g., .NET Framework 4.5.",APIReference,Text
评估,assesses,所描述的项目旨在评估所引用术语定义的能力或学习成果。,The item being described is intended to assess the competency or learning outcome defined by the referenced term.,"CreativeWork, EducationEvent","DefinedTerm, Text"
相关解剖,associatedAnatomy,与该实体关联的基础器官系统或结构的解剖结构。,The anatomy of the underlying organ system or structures associated with this entity.,"MedicalCondition, PhysicalActivity","AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy"
相关文章,associatedArticle,与媒体对象关联的NewsArticle。,A NewsArticle associated with the Media Object.,MediaObject,NewsArticle
相关媒体,associatedMedia,编码此CreativeWork的媒体对象。此属性是编码的同义词。,A media object that encodes this CreativeWork. This property is a synonym for encoding.,CreativeWork,MediaObject
相关病理生理学,associatedPathophysiology,如果适用，请描述与解剖系统相关的病理生理，包括系统的机械，物理和生化功能的潜在异常变化。,"If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.","AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy",Text
运动员,athlete,担任运动队表演成员的人；运动员与教练相对的球员。,A person that acts as performing member of a sports team; a player as opposed to a coach.,SportsTeam,Person
参加者,attendee,参加活动的个人或组织。,A person or organization attending the event.,Event,"Organization, Person"
参加者,attendees,参加活动的人。,A person attending the event.,Event,"Organization, Person"
听众,audience,目标受众，即为其创建了某些内容的组。,"An intended audience, i.e. a group for whom something was created.","CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service",Audience
受众类型,audienceType,与特定受众群体相关的目标群体（例如退伍军人，车主，音乐家等）。,"The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).",Audience,Text
音讯,audio,嵌入式音频对象。,An embedded audio object.,CreativeWork,"AudioObject, Clip, MusicRecording"
认证者,authenticator,负责验证用户订阅的组织。例如，许多媒体应用在播放媒体之前都需要有线/卫星提供商验证您的订阅。,"The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.",MediaSubscription,Organization
作者,author,该内容或评分的作者。 请注意作者是特殊的，因为HTML 5提供了一种特殊的机制，用于通过rel标签指示作者身份。 等效于此，可以互换使用。,The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.,"CreativeWork, Rating","Organization, Person"
可用性,availability,要约的可用性：例如，有货，无货，预购等。,"The availability of this item: for example In stock, Out of stock, Pre-order, etc.","Demand, Offer",ItemAvailability
可用性结束,availabilityEnds,要约中包含的产品或服务的可用性终止。,The end of the availability of the product or service included in the offer.,"ActionAccessSpecification, Demand, Offer","Date, DateTime, Time"
可用性开始,availabilityStarts,要约中包含的产品或服务的可用性开始。,The beginning of the availability of the product or service included in the offer.,"ActionAccessSpecification, Demand, Offer","Date, DateTime, Time"
可在或从,availableAtOrFrom,可以从中获取要约的地点（例如商店位置）。,The place(s) from which the offer can be obtained (e.g. store locations).,"Demand, Offer",Place
可用频道,availableChannel,一种访问服务的方式（例如，电话银行，网站，位置等）。,"A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).",Service,ServiceChannel
可用的交付方式,availableDeliveryMethod,此要约可用的交付方式。,The delivery method(s) available for this offer.,"Demand, Offer",DeliveryMethod
可从,availableFrom,可从商店，储物柜等处取货时。,"When the item is available for pickup from the store, locker, etc.",DeliveryEvent,DateTime
在可用,availableIn,强度可用的位置。,The location in which the strength is available.,DrugStrength,AdministrativeArea
可用语言,availableLanguage,某人可能在物品，服务或地点上或在物品，服务或地点使用的语言。 请使用IETF BCP 47标准中的一种语言代码。 另见inLanguage,"A language someone may use with or at the item, service or place. Please use one of the language codes from the IETF BCP 47 standard. See also inLanguage","ContactPoint, LodgingBusiness, ServiceChannel, TouristAttraction","Language, Text"
在设备上可用,availableOnDevice,运行该应用程序所需的设备。 在需要特定品牌/型号来运行应用程序的情况下使用。,Device required to run the application. Used in cases where a specific make/model is required to run the application.,SoftwareApplication,Text
可用服务,availableService,该提供者可以提供的医疗服务。,A medical service available from this provider.,"Hospital, MedicalClinic, Physician","MedicalProcedure, MedicalTest, MedicalTherapy"
可用强度,availableStrength,药物的可用剂量强度。,An available dosage strength for the drug.,Drug,DrugStrength
可用测试,availableTest,此实验室提供的诊断测试或过程。,A diagnostic test or procedure offered by this lab.,DiagnosticLab,MedicalTest
可通过,availableThrough,在此日期之后，该物品将不再可用。,"After this date, the item will no longer be available for pickup.",DeliveryEvent,DateTime
奖,award,此项所获得的或所赢得的奖项。,An award won by or for this item.,"CreativeWork, Organization, Person, Product, Service",Text
奖项,awards,此项所获得的或所赢得的奖项。,Awards won by or for this item.,"CreativeWork, Organization, Person, Product",Text
客队,awayTeam,一项体育赛事中的客队。,The away team in a sports event.,SportsEvent,"Person, SportsTeam"
背景故事,backstory,对于通常是NewsArticle的文章，backstory属性提供了文本摘要，简要说明了为什么以及如何创建文章。 在新闻界，这可能包括有关报告过程，方法，访谈，数据来源等的信息。,"For an Article, typically a NewsArticle, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc.",Article,"CreativeWork, Text"
银行账户类型,bankAccountType,银行帐户的类型。,The type of a bank account.,BankAccount,"Text, URL"
基本工资,baseSalary,工作或EmployeeRole中雇员的基本工资。,The base salary of the job or of an employee in an EmployeeRole.,"EmployeeRole, JobPosting","MonetaryAmount, Number, PriceSpecification"
密件抄送收件人,bccRecipient,收件人的子属性。收件人盲目复制邮件。,A sub property of recipient. The recipient blind copied on a message.,Message,"ContactPoint, Organization, Person"
床,bed,住宿中所含床的类型。对于只有某种类型的一张床的单例，您可以直接在文本上使用床。如果要指示某种床的数量，请使用BedDetails的实例。有关更多详细信息，请使用amenityFeature属性。,"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property.","HotelRoom, Suite","BedDetails, BedType, Text"
在媒体之前,beforeMedia,在执行此指示之前代表环境的媒体对象。,A media object representing the circumstances before performing this direction.,HowToDirection,"MediaObject, URL"
收款银行,beneficiaryBank,一家经营受益人银行账户或为受益人释放资金的银行或分支机构，金融机构或国际金融机构,"A bank or bank’s branch, financial institution or international financial institution operating the beneficiary’s bank account or releasing funds for the beneficiary",MoneyTransfer,"BankOrCreditUnion, Text"
好处,benefits,与工作相关的福利说明。,Description of benefits associated with the job.,JobPosting,Text
福利摘要网址,benefitsSummaryUrl,直接转到特定标准计划或计划变更的收益和覆盖范围摘要的URL。,The URL that goes directly to the summary of benefits and coverage for the specific standard plan or plan variation.,HealthInsurancePlan,URL
最佳评分,bestRating,此评级系统中允许的最高值。如果省略bestRating，则假定为5。,"The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.",Rating,"Number, Text"
帐单地址,billingAddress,订单的帐单地址。,The billing address for the order.,Order,PostalAddress
计费增量,billingIncrement,此属性指定将作为开票基础的最小数量和四舍五入增量。测量单位由unitCode属性指定。,This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.,UnitPriceSpecification,Number
结算期,billingPeriod,用于计算发票的时间间隔。,The time interval used to compute the invoice.,Invoice,Duration
生物力学等级,biomechnicalClass,骨骼的生物力学特性。,The biomechanical properties of the bone.,Joint,Text
